,Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
41,2041,Kids,Soccer,Tiempo Legend,12,1.482213438735178,5553.88,0.0,0.0,2025/03/05,Online,Hyd,2371.66
42,2042,Women,Basketball,Kyrie Flytrap,L,1.482213438735178,6039.8633948635625,0.0,0.0,2025/04/19,Online,hyderbad,-862.16
43,2043,Men,Soccer,Premier III,XL,1.482213438735178,3492.89,0.77,0.0,2024-05-02,Retail,Delhi,3770.75
44,2044,Kids,Training,SuperRep Go,L,1.482213438735178,6039.8633948635625,0.0,0.0,2023-09-06,Online,Delhi,2174.71
45,2045,Kids,Lifestyle,Dunk Low,XL,4.0,6039.8633948635625,0.0,0.0,2025-04-06,Retail,Delhi,1833.94
46,2046,Kids,Running,Air Zoom,12,1.482213438735178,6039.8633948635625,1.04,0.0,10-12-2024,Online,Kolkata,1284.33
47,2047,Women,Training,SuperRep Go,10,1.0,8577.75,0.0,0.0,2024-06-13,Retail,Bangalore,2888.68
48,2048,Women,Basketball,Air Jordan,XL,1.482213438735178,6039.8633948635625,0.0,0.0,27-10-2024,Online,Bangalore,2875.86
49,2049,Kids,Soccer,Tiempo Legend,L,1.0,7767.2,0.0,0.0,10-12-2024,Retail,Pune,311.48
50,2050,Men,Running,Air Zoom,L,1.0,6039.8633948635625,0.57,0.0,10-12-2024,Retail,Kolkata,682.12
51,2051,Women,Basketball,Air Jordan,XL,1.482213438735178,6039.8633948635625,0.37,0.0,2024-01-05,Retail,Delhi,3135.98
52,2052,Men,Training,Flex Trainer,10,3.0,9155.96,0.0,0.0,2024-10-08,Retail,Pune,2184.8
53,2053,Men,Lifestyle,Air Force 1,XL,3.0,6009.58,0.0,0.0,2024/10/02,Online,Delhi,3384.92
54,2054,Women,Training,Flex Trainer,11,1.482213438735178,6039.8633948635625,0.0,0.0,2025/06/23,Online,Mumbai,-549.76
55,2055,Men,Basketball,Kyrie Flytrap,L,1.482213438735178,6039.8633948635625,0.0,0.0,26-10-2024,Online,hyderbad,-1078.76
56,2056,Men,Running,React Infinity,L,3.0,6039.8633948635625,0.0,0.0,2024-05-31,Retail,Bangalore,-244.44
57,2048,Men,Lifestyle,Waffle One,M,3.0,6216.29,0.94,1118.93,2024/09/14,Online,Mumbai,-642.02
58,2058,Women,Training,Flex Trainer,11,1.482213438735178,4985.92,0.0,0.0,10-12-2024,Online,Kolkata,361.54
59,2059,Kids,Soccer,Phantom GT,L,1.482213438735178,9507.54,0.0,0.0,2023-12-27,Retail,Delhi,291.28
60,2060,Men,Lifestyle,Waffle One,L,2.0,7979.26,0.0,0.0,2024-07-11,Online,bengaluru,2821.59
61,2061,Women,Basketball,LeBron 20,L,1.482213438735178,6039.8633948635625,0.0,0.0,10-09-2024,Online,Mumbai,-501.68
62,2062,Men,Basketball,Air Jordan,L,2.0,6039.8633948635625,0.0,0.0,06-06-2025,Online,Bangalore,1823.91
63,2063,Women,Basketball,Air Jordan,M,1.0,9751.0,0.16,8190.84,06-09-2024,Retail,Pune,1130.31
64,2064,Kids,Running,React Infinity,L,2.0,7557.71,0.0,0.0,2025/03/02,Online,Bangalore,3277.44
65,2065,Women,Lifestyle,Waffle One,10,1.482213438735178,6039.8633948635625,0.78,0.0,2024-02-11,Retail,Hyd,21.58
66,2066,Men,Soccer,Phantom GT,XL,1.482213438735178,5259.05,0.0,0.0,2024-12-10,Online,Mumbai,1022.82
67,2067,Kids,Basketball,LeBron 20,L,4.0,3588.38,0.0,0.0,06-05-2025,Online,Kolkata,161.5
68,2068,Men,Running,Free RN,L,4.0,2553.29,0.0,0.0,2024/12/05,Retail,Mumbai,984.9
69,2069,Women,Training,SuperRep Go,L,1.482213438735178,7502.24,0.0,0.0,2025-07-14,Online,Pune,3554.58
70,2070,Kids,Running,React Infinity,L,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Mumbai,1112.43
71,2071,Kids,Lifestyle,Blazer Mid,M,3.0,7849.81,0.49,12010.21,2025/01/12,Retail,Pune,-882.96
72,2072,Men,Training,Flex Trainer,L,3.0,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Pune,3639.2
73,2073,Women,Lifestyle,Blazer Mid,12,4.0,6039.8633948635625,0.85,0.0,03-11-2024,Online,Hyd,443.86
74,2074,Men,Training,Flex Trainer,L,1.482213438735178,6039.8633948635625,0.57,0.0,10-12-2024,Online,Kolkata,1958.47
75,2075,Kids,Basketball,Air Jordan,L,4.0,4251.74,0.0,0.0,2025/07/14,Online,Pune,2345.35
76,2076,Women,Training,ZoomX Invincible,11,1.482213438735178,6039.8633948635625,0.0,0.0,13-10-2024,Retail,bengaluru,2011.25
77,2077,Men,Training,ZoomX Invincible,L,1.482213438735178,6039.8633948635625,0.0,0.0,2023-11-21,Online,Pune,3332.66
78,2078,Women,Basketball,LeBron 20,L,0.0,6970.47,0.0,0.0,10-12-2024,Online,Mumbai,262.79
79,2079,Men,Running,Pegasus Turbo,XL,1.482213438735178,4322.06,0.0,0.0,2025/01/19,Online,bengaluru,279.78
80,2080,Men,Lifestyle,Blazer Mid,L,1.482213438735178,6039.8633948635625,0.0,0.0,2025-03-31,Online,Bangalore,-1005.89
81,2081,Men,Training,ZoomX Invincible,L,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Online,Mumbai,2810.49
82,2028,Men,Running,Free RN,L,1.482213438735178,6039.8633948635625,0.21,0.0,2024-02-14,Online,Hyderabad,3303.01
83,2083,Men,Running,Free RN,L,1.482213438735178,9291.74,0.0,0.0,14-10-2024,Retail,Delhi,-981.21
84,2084,Men,Training,Metcon 7,M,2.0,6039.8633948635625,0.0,0.0,2023-12-24,Online,Mumbai,408.39
85,2085,Men,Basketball,Kyrie Flytrap,L,1.482213438735178,7561.85,0.0,0.0,2024/12/17,Retail,Kolkata,98.72
86,2086,Men,Soccer,Mercurial Superfly,L,0.0,6039.8633948635625,0.45,0.0,2024-10-11,Online,Kolkata,1742.66
87,2087,Kids,Basketball,Zoom Freak,L,1.482213438735178,4656.28,0.0,0.0,2024/11/01,Online,Kolkata,3777.5
88,2088,Women,Running,Free RN,XL,4.0,6039.8633948635625,0.0,0.0,26-04-2025,Online,Bangalore,2702.93
89,2089,Women,Training,Flex Trainer,L,2.0,6874.77,0.6,5499.82,02-12-2024,Online,Mumbai,-1076.66
90,2090,Kids,Lifestyle,Dunk Low,8,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Bangalore,163.15
91,2091,Kids,Running,Air Zoom,11,1.482213438735178,9246.88,0.0,0.0,10-12-2024,Retail,Mumbai,1917.55
92,2092,Kids,Basketball,Zoom Freak,XL,2.0,6039.8633948635625,1.13,0.0,10-12-2024,Online,Delhi,207.2
93,2093,Men,Running,Free RN,XL,0.0,6039.8633948635625,0.29,0.0,10-12-2024,Online,Kolkata,-146.73
94,2094,Kids,Training,Flex Trainer,10,1.0,4276.36,0.0,0.0,10-11-2024,Retail,Delhi,2974.58
95,2095,Men,Lifestyle,Waffle One,M,1.482213438735178,6039.8633948635625,0.0,0.0,16-10-2024,Online,Delhi,880.57
96,2096,Men,Running,Pegasus Turbo,XL,2.0,6039.8633948635625,0.0,0.0,24-12-2024,Online,Kolkata,288.66
97,2097,Women,Training,ZoomX Invincible,XL,1.482213438735178,7978.89,0.0,0.0,10-12-2024,Online,Bangalore,769.05
98,2098,Men,Training,ZoomX Invincible,L,1.482213438735178,5690.69,0.69,0.0,2024-01-24,Online,hyderbad,98.3
99,2099,Kids,Soccer,Mercurial Superfly,M,2.0,6039.8633948635625,0.32,0.0,01-02-2025,Retail,Mumbai,360.97
100,2100,Kids,Soccer,Phantom GT,8,1.0,5937.52,0.0,0.0,2025-07-11,Retail,Mumbai,2287.57
101,2101,Kids,Running,Free RN,XL,1.482213438735178,2010.07,0.0,0.0,2025/07/03,Online,Hyderabad,3398.01
102,2102,Women,Soccer,Mercurial Superfly,XL,1.482213438735178,6039.8633948635625,0.77,0.0,10-04-2025,Online,Pune,284.17
103,2103,Women,Basketball,LeBron 20,XL,1.482213438735178,6777.88,0.0,0.0,2025/01/08,Online,Kolkata,469.61
104,2104,Men,Basketball,Kyrie Flytrap,L,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Delhi,2905.91
105,2105,Kids,Training,Metcon 7,L,2.0,5744.7,0.0,0.0,17-11-2024,Retail,Mumbai,1716.04
106,2106,Women,Running,Free RN,L,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Retail,bengaluru,76.95
107,2107,Women,Running,React Infinity,M,4.0,6039.8633948635625,0.0,0.0,2024/08/30,Online,Hyd,-184.69
108,2108,Kids,Lifestyle,Air Force 1,XL,1.482213438735178,6039.8633948635625,0.27,0.0,15-11-2024,Retail,Mumbai,-338.77
109,2109,Kids,Basketball,Zoom Freak,M,0.0,6039.8633948635625,0.0,0.0,29-01-2025,Retail,Kolkata,3791.88
110,2110,Kids,Running,Air Zoom,12,1.0,6039.8633948635625,0.42,0.0,2024-12-25,Retail,Pune,-259.29
111,2111,Men,Lifestyle,Waffle One,L,1.482213438735178,6039.8633948635625,1.14,0.0,2024/11/21,Retail,bengaluru,1326.67
112,2112,Women,Training,Metcon 7,L,1.482213438735178,2201.54,0.0,0.0,10-12-2024,Retail,bengaluru,697.42
113,2113,Women,Basketball,Air Jordan,XL,1.482213438735178,3939.34,0.0,0.0,2023-12-19,Retail,Pune,2918.93
114,2114,Women,Training,Flex Trainer,XL,1.0,3167.33,0.53,1488.65,10-12-2024,Retail,Pune,1567.37
115,2115,Kids,Soccer,Phantom GT,6,2.0,7607.45,0.0,0.0,10-12-2024,Online,Kolkata,1969.03
116,2116,Women,Basketball,LeBron 20,L,1.482213438735178,4038.32,1.13,0.0,2024/08/27,Online,Hyderabad,2088.55
117,2117,Women,Training,SuperRep Go,L,0.0,7645.96,0.0,0.0,2024-10-30,Online,Pune,2037.43
118,2118,Kids,Basketball,Zoom Freak,XL,2.0,8426.54,0.0,0.0,2023-09-21,Online,hyderbad,2696.85
119,2119,Women,Training,Metcon 7,11,1.482213438735178,6039.8633948635625,0.41,0.0,05-04-2025,Retail,Kolkata,2887.81
120,2120,Men,Soccer,Phantom GT,12,1.482213438735178,6039.8633948635625,0.0,0.0,14-12-2024,Retail,Pune,-328.0
121,2000,Kids,Running,React Infinity,M,1.482213438735178,6039.8633948635625,0.0,0.0,2023-11-20,Retail,Kolkata,929.75
122,2122,Kids,Soccer,Mercurial Superfly,L,0.0,6039.8633948635625,0.0,0.0,10-12-2024,Retail,bengaluru,1078.48
123,2123,Men,Running,Air Zoom,L,1.482213438735178,6039.8633948635625,0.0,0.0,15-09-2024,Retail,Hyd,2195.52
124,2124,Kids,Basketball,Kyrie Flytrap,L,1.482213438735178,6436.11,1.24,0.0,04-07-2025,Online,Kolkata,432.04
125,2125,Women,Soccer,Tiempo Legend,M,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Hyderabad,1051.22
126,2126,Kids,Running,Pegasus Turbo,L,1.482213438735178,5399.58,0.0,0.0,2024/12/14,Retail,Pune,2508.34
127,2127,Men,Training,Metcon 7,L,1.482213438735178,4020.5,0.0,0.0,2023-08-19,Online,Mumbai,3718.37
128,2128,Women,Basketball,LeBron 20,L,1.482213438735178,8750.71,0.0,0.0,10-12-2024,Retail,Bangalore,1411.29
129,2129,Men,Basketball,Zoom Freak,9,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Delhi,841.4
130,2130,Men,Soccer,Premier III,10,3.0,6039.8633948635625,0.24,0.0,14-09-2024,Online,bengaluru,2962.75
131,2131,Kids,Running,Free RN,XL,1.482213438735178,5561.82,0.0,0.0,10-12-2024,Retail,Mumbai,2227.48
132,2132,Men,Running,Free RN,L,2.0,6039.8633948635625,0.0,0.0,10-12-2024,Online,Delhi,3882.22
133,2133,Men,Training,Metcon 7,XL,1.482213438735178,6789.53,0.0,0.0,2024/10/10,Retail,Pune,-166.81
134,2134,Men,Training,ZoomX Invincible,M,1.482213438735178,4738.62,0.0,0.0,06-08-2024,Online,Hyderabad,1009.28
135,2135,Men,Basketball,Zoom Freak,L,2.0,9106.61,0.74,4735.44,2024-11-03,Retail,hyderbad,2422.38
136,2136,Kids,Training,ZoomX Invincible,L,1.0,6039.8633948635625,0.0,0.0,2024-09-15,Online,Pune,3672.24
137,2137,Men,Soccer,Phantom GT,L,0.0,5222.02,0.95,0.0,2025/01/12,Online,Delhi,1796.76
138,2138,Men,Running,Pegasus Turbo,11,2.0,8055.2,0.0,0.0,14-06-2025,Online,Mumbai,1840.09
139,2139,Women,Basketball,Air Jordan,M,1.482213438735178,6039.8633948635625,0.0,0.0,2025/06/19,Retail,Mumbai,-334.52
140,2140,Men,Basketball,Zoom Freak,M,1.482213438735178,6765.74,0.0,0.0,28-04-2025,Online,Bangalore,-875.45
141,2141,Kids,Soccer,Tiempo Legend,L,1.482213438735178,6039.8633948635625,1.1,0.0,2023-11-22,Retail,Kolkata,-1032.47
142,2142,Kids,Soccer,Mercurial Superfly,L,1.482213438735178,6039.8633948635625,0.0,0.0,2024-10-03,Retail,Kolkata,-995.59
143,2143,Kids,Training,ZoomX Invincible,L,1.482213438735178,6039.8633948635625,0.0,0.0,2025/03/10,Online,Delhi,1006.66
144,2144,Women,Lifestyle,Waffle One,L,4.0,6039.8633948635625,0.0,0.0,30-03-2025,Online,Kolkata,2385.1
145,2145,Men,Lifestyle,Blazer Mid,6,0.0,6039.8633948635625,0.67,0.0,2024/07/30,Online,Bangalore,1335.45
146,2146,Kids,Basketball,Air Jordan,XL,1.482213438735178,6039.8633948635625,1.12,0.0,2025/02/15,Retail,Mumbai,-908.85
147,2147,Women,Soccer,Phantom GT,XL,1.482213438735178,6039.8633948635625,0.0,0.0,2024-09-14,Online,Hyderabad,-426.53
148,2148,Men,Basketball,Kyrie Flytrap,L,1.482213438735178,6039.8633948635625,0.0,0.0,2025/06/19,Online,Hyd,520.55
149,2149,Women,Running,Pegasus Turbo,L,1.482213438735178,6039.8633948635625,0.0,0.0,2025/05/20,Online,Kolkata,-595.69
150,2150,Women,Basketball,LeBron 20,M,2.0,3313.21,0.48,3445.74,06-07-2025,Online,bengaluru,3221.62
151,2151,Kids,Soccer,Tiempo Legend,L,4.0,5619.75,0.0,0.0,2025-05-27,Online,bengaluru,2000.85
152,2152,Women,Running,Free RN,8,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Online,bengaluru,3819.41
153,2153,Men,Running,React Infinity,L,0.0,6039.8633948635625,0.09,0.0,2024/08/18,Retail,Pune,1246.58
154,2154,Kids,Lifestyle,Blazer Mid,XL,1.482213438735178,2963.16,0.0,0.0,2025-04-01,Online,Bangalore,2381.85
155,2155,Men,Soccer,Phantom GT,L,3.0,6039.8633948635625,0.0,0.0,10-12-2024,Online,hyderbad,1475.15
156,2156,Men,Soccer,Tiempo Legend,M,0.0,6039.8633948635625,0.0,0.0,31-08-2024,Online,Pune,-286.07
157,2157,Kids,Soccer,Premier III,L,1.0,6039.8633948635625,0.0,0.0,2025/04/29,Online,Delhi,-701.01
158,2158,Women,Running,React Infinity,M,1.482213438735178,6039.8633948635625,0.5,0.0,28-01-2025,Online,Mumbai,514.79
159,2159,Women,Training,ZoomX Invincible,XL,2.0,3987.65,0.0,0.0,10-12-2024,Retail,Delhi,2781.72
160,2160,Kids,Running,Air Zoom,XL,1.482213438735178,6039.8633948635625,0.0,0.0,2025-03-01,Retail,Mumbai,3744.91
161,2161,Kids,Lifestyle,Waffle One,M,0.0,5119.41,0.8,0.0,10-12-2024,Online,Pune,1956.8
162,2162,Men,Lifestyle,Blazer Mid,8,1.482213438735178,7662.11,0.0,0.0,10-12-2024,Online,Mumbai,2398.55
163,2163,Men,Lifestyle,Dunk Low,7,1.482213438735178,6039.8633948635625,1.24,0.0,2025/03/06,Retail,Hyderabad,3344.98
164,2164,Women,Soccer,Mercurial Superfly,8,0.0,6039.8633948635625,0.95,0.0,23-10-2024,Online,Pune,-872.9
165,2165,Kids,Training,SuperRep Go,L,4.0,4577.65,0.0,0.0,2024/11/11,Retail,Kolkata,2460.19
166,2166,Women,Lifestyle,Air Force 1,M,1.482213438735178,7312.38,0.0,0.0,01-02-2025,Online,Mumbai,3364.05
167,2167,Men,Running,React Infinity,XL,3.0,3055.79,0.0,0.0,10-12-2024,Retail,Mumbai,1259.58
168,2168,Women,Running,Pegasus Turbo,L,1.482213438735178,6039.8633948635625,0.85,0.0,2024-08-01,Retail,Kolkata,3011.49
169,2169,Kids,Training,Flex Trainer,L,4.0,4046.05,0.01,16022.36,2024/12/14,Retail,Delhi,1057.58
170,2170,Kids,Lifestyle,Air Force 1,M,0.0,6039.8633948635625,0.0,0.0,2025/06/28,Online,Kolkata,3218.82
171,2022,Women,Lifestyle,Air Force 1,L,1.482213438735178,9378.52,1.06,0.0,2023-10-29,Retail,Mumbai,128.92
172,2172,Women,Training,ZoomX Invincible,M,1.482213438735178,7988.99,1.2,0.0,2024/12/17,Online,bengaluru,-909.86
173,2173,Men,Running,Free RN,L,1.482213438735178,6620.78,0.0,0.0,29-03-2025,Online,Bangalore,3770.03
174,2174,Women,Soccer,Phantom GT,L,1.482213438735178,3883.92,0.0,0.0,10-12-2024,Retail,Pune,428.5
175,2175,Women,Lifestyle,Blazer Mid,L,1.482213438735178,6039.8633948635625,1.16,0.0,10-12-2024,Online,Pune,2457.78
176,2176,Men,Soccer,Mercurial Superfly,L,4.0,6039.8633948635625,0.0,0.0,04-01-2025,Online,bengaluru,3908.28
177,2177,Women,Lifestyle,Waffle One,XL,1.482213438735178,6039.8633948635625,0.0,0.0,2025-06-27,Retail,Mumbai,885.37
178,2178,Men,Running,Free RN,L,1.0,6039.8633948635625,0.0,0.0,28-10-2024,Retail,Bangalore,-983.37
179,2179,Women,Training,ZoomX Invincible,M,3.0,6039.8633948635625,0.0,0.0,2024-01-26,Retail,Pune,3135.92
180,2180,Women,Basketball,LeBron 20,XL,1.482213438735178,6039.8633948635625,0.0,0.0,2024-05-15,Online,Pune,2189.84
181,2181,Women,Lifestyle,Air Force 1,XL,2.0,6039.8633948635625,0.0,0.0,2025/01/06,Retail,Delhi,419.58
182,2182,Kids,Basketball,Zoom Freak,11,1.482213438735178,7214.55,0.0,0.0,10-12-2024,Online,Mumbai,-662.77
183,2183,Kids,Lifestyle,Waffle One,M,1.482213438735178,5389.56,0.0,0.0,10-12-2024,Online,Pune,2927.93
184,2184,Men,Soccer,Mercurial Superfly,XL,4.0,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Hyderabad,1980.73
185,2185,Women,Training,ZoomX Invincible,XL,4.0,4207.44,0.59,6900.2,2025/06/08,Online,Kolkata,-615.48
186,2186,Men,Running,React Infinity,L,0.0,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Bangalore,540.83
187,2187,Men,Running,React Infinity,L,1.482213438735178,7795.32,0.0,0.0,09-11-2024,Online,Mumbai,2402.99
188,2188,Men,Running,React Infinity,L,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Online,Pune,1278.03
189,2189,Men,Training,SuperRep Go,L,3.0,6039.8633948635625,0.9,0.0,2024/10/02,Online,Hyd,3628.46
190,2190,Kids,Basketball,Kyrie Flytrap,L,1.482213438735178,4280.01,0.66,0.0,10-12-2024,Online,Delhi,1949.77
191,2191,Men,Lifestyle,Air Force 1,8,3.0,6039.8633948635625,0.0,0.0,2024/09/28,Retail,Pune,-1032.88
192,2192,Men,Basketball,Kyrie Flytrap,XL,1.482213438735178,6039.8633948635625,0.0,0.0,2023-10-13,Retail,Delhi,554.91
193,2193,Women,Lifestyle,Waffle One,XL,1.482213438735178,6039.8633948635625,1.24,0.0,2025-01-17,Retail,Delhi,1803.66
194,2194,Men,Soccer,Mercurial Superfly,M,1.482213438735178,6196.01,0.0,0.0,27-10-2024,Online,hyderbad,926.03
195,2195,Women,Training,SuperRep Go,L,1.482213438735178,6039.8633948635625,0.51,0.0,10-12-2024,Online,Delhi,1041.81
196,2196,Kids,Soccer,Premier III,L,2.0,2708.73,0.0,0.0,2025-06-30,Online,Delhi,925.63
197,2197,Kids,Training,ZoomX Invincible,L,3.0,6039.8633948635625,0.0,0.0,2024-10-06,Online,bengaluru,-418.5
198,2198,Men,Training,SuperRep Go,7,4.0,6039.8633948635625,0.65,0.0,2025/01/05,Online,Pune,-169.33
199,2199,Men,Soccer,Premier III,M,1.0,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Kolkata,389.94
200,2200,Men,Basketball,Air Jordan,9,3.0,5570.72,0.0,0.0,10-12-2024,Online,Delhi,1513.76
201,2201,Women,Training,SuperRep Go,11,1.482213438735178,6039.8633948635625,0.0,0.0,2024-05-10,Online,Mumbai,1403.56
202,2202,Men,Basketball,Kyrie Flytrap,M,1.482213438735178,7918.93,1.06,475.14,2025/07/04,Retail,Bangalore,1994.42
203,2203,Men,Lifestyle,Air Force 1,M,0.0,6903.22,0.0,0.0,10-12-2024,Online,Pune,1556.95
204,2204,Men,Basketball,LeBron 20,7,1.482213438735178,7660.41,0.0,0.0,2025/05/17,Online,Delhi,2076.75
205,2205,Women,Running,React Infinity,XL,0.0,6039.8633948635625,0.0,0.0,24-04-2025,Retail,Pune,-467.52
206,2206,Men,Training,Flex Trainer,M,2.0,6039.8633948635625,0.0,0.0,10-12-2024,Online,Delhi,-524.85
207,2207,Women,Running,Pegasus Turbo,XL,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Online,Hyderabad,2101.41
208,2208,Women,Basketball,LeBron 20,M,1.482213438735178,5172.62,0.97,0.0,10-12-2024,Retail,hyderbad,-1074.04
209,2209,Kids,Training,SuperRep Go,L,1.482213438735178,6039.8633948635625,0.0,0.0,2024/09/01,Retail,Hyd,1956.7
210,2210,Men,Lifestyle,Blazer Mid,XL,1.482213438735178,6039.8633948635625,0.0,0.0,09-08-2024,Retail,Kolkata,701.02
211,2000,Kids,Training,Metcon 7,L,4.0,6039.8633948635625,0.94,0.0,2024-02-27,Retail,bengaluru,2372.82
212,2212,Women,Lifestyle,Blazer Mid,L,1.482213438735178,7670.82,0.0,0.0,2024/09/23,Online,Kolkata,-87.95
